light_high_duration_pre_sleep,sleep_quality,light_mean_full_window,accel_night_movement_ratio,light_high_duration_full_window,location_mobility_ratio_full_window
-0.5773502691896257,5,,,,
-0.5773502691896257,5,,,,
-0.5773502691896257,5,,,,
1.7320508075688774,4,,,,
-0.5,5,-0.7959737757619791,-1.9389830970350657,-1.844590334258692,-1.834707719973625
-0.5,5,-0.2204112601151458,0.3341185562687544,1.055352112669801,1.1349945545758855
-0.5,5,-0.4022448541070648,0.4527945462002787,0.4580270108296387,0.0504216708460461
2.0,4,1.964262816355639,0.2154425663372291,-0.165362097974459,0.5818449657940787
-0.5,5,-0.5456329263714494,0.9366274282288028,0.4965733087337124,0.0674465287576143
,5,,,,
,5,,,,
,5,,,,
,4,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,4,,,,
,5,,,,
,5,,,,
,6,,,,
